Date;Open;High;Low;Close;Adj Close;Volume
30/09/2016;58350;58900;58271;58367;58367;2858200
03/10/2016;58370;59549;58367;59461;59461;2774100
04/10/2016;59461;59580;58892;59339;59339;3894600
05/10/2016;59340;60477;59340;60254;60254;3378900
06/10/2016;60254;60724;60070;60644;60644;3507200
07/10/2016;60645;61275;60479;61109;61109;4243800
10/10/2016;61130;61756;61130;61668;61668;2936900
11/10/2016;61668;61668;60885;61022;61022;3568000
13/10/2016;61020;61329;60243;61119;61119;4952700
14/10/2016;61120;62039;61120;61767;61767;3691200
17/10/2016;61768;62696;61719;62696;62696;3340700
18/10/2016;62701;63937;62701;63782;63782;4390300
19/10/2016;63784;64089;63309;63506;63506;3614000
20/10/2016;63495;63927;62729;63838;63838;3421500
21/10/2016;63838;64372;63379;64108;64108;3662900
24/10/2016;64141;64691;63914;64060;64060;3663900
25/10/2016;64059;64266;63248;63866;63866;3918100
26/10/2016;63860;63924;63084;63826;63826;4299200
27/10/2016;63827;64609;63827;64250;64250;3587500
28/10/2016;64251;64728;63778;64308;64308;3788500
31/10/2016;64312;65054;64312;64925;64925;3816900
01/11/2016;64922;65291;63019;63326;63326;4505600
03/11/2016;63325;63524;61750;61750;61750;4124000
04/11/2016;61749;62699;61491;61598;61598;3972500
07/11/2016;61601;64193;61601;64052;64052;3325900
08/11/2016;64052;64767;63381;64158;64158;3265100
09/11/2016;64157;64358;61794;63258;63258;5630100
10/11/2016;63261;63903;60553;61201;61201;7623700
11/11/2016;61199;61626;58921;59184;59184;7572800
14/11/2016;59183;59961;58322;59657;59657;5408500
16/11/2016;59658;60915;59364;60759;60759;4582900
17/11/2016;60763;61493;59746;59770;59770;3531300
18/11/2016;59770;60193;59327;59962;59962;3462400
21/11/2016;59963;61070;59963;61070;61070;3520100
22/11/2016;61072;62550;61072;61954;61954;3987100
23/11/2016;61956;62046;61234;61986;61986;3489700
24/11/2016;61999;62105;61392;61396;61396;1647100
25/11/2016;61394;61559;60573;61559;61559;2653700
28/11/2016;61559;62934;61240;62855;62855;2752000
29/11/2016;62859;62859;60980;60987;60987;3423900
30/11/2016;60994;62590;60994;61906;61906;4587300
01/12/2016;61906;61911;59058;59507;59507;5352800
02/12/2016;59499;60379;58092;60316;60316;4344200
05/12/2016;60322;60720;59635;59832;59832;2861200
06/12/2016;59828;61235;59396;61088;61088;3606500
07/12/2016;61111;61918;61062;61414;61414;3841700
08/12/2016;61430;61936;60499;60677;60677;2936600
